DATA_TYPE,Trim(BOTH FROM CUSTOMER_ID),ITEM,ITEM_ID,CNT,MIN_DIST
CTI,D26DD40E6B23167216,國際機場接送,CTI_498,1,5
CTI,P13A65DADA9FF649D3,高鐵,CTI_97,1,25
CTI,Q18D4D079BF0B205F4,餐飲／住宿／電影優惠：(請自行KEY IN),CTI_922,1,11
CTI,A13EB531D5E8DD7596,高鐵,CTI_97,1,2
CTI,Y218C3B404AE609182,國際機場接送,CTI_498,1,16
CTI,A1127D0A690D6FEF09,國際機場外圍停車服務,CTI_227,1,14
CTI,A2E35C8877B2501BDC,國際機場外圍停車服務,CTI_227,1,12
CTI,S16F2E92C881363954,高鐵,CTI_97,1,13
CTI,U25DC4148345FBBDAA,國際機場外圍停車服務,CTI_227,1,26
CTI,T14A3CFF43196DE43F,國際機場外圍停車服務,CTI_227,1,11
CTI,T2033D0977F4115E57,國際機場外圍停車服務,CTI_227,1,10
CTI,H1C6AFACEA0623B3E1,國際機場外圍停車服務,CTI_227,1,3
CTI,Q245DF8058FB1C7376,國際機場接送,CTI_498,1,10
CTI,P2F272702BA92BD5DC,國際機場外圍停車服務,CTI_227,1,7
CTI,B2B36C3834A16E1DBA,高鐵,CTI_97,1,18
CTI,M2E0480E726EB70441,國際機場接送,CTI_498,1,1
CTI,G22AE209281452B66C,國際機場接送,CTI_498,1,11
CTI,F25BF9C0031AE0490B,國際機場接送,CTI_498,1,27
CTI,H2CA0A7B6A83C14BAA,國際機場外圍停車服務,CTI_227,1,21
CTI,E2CB90924D00B589A0,國際機場外圍停車服務,CTI_227,2,3
CTI,F282877D22FF530EA1,高鐵,CTI_97,1,13
CTI,H18075DC8FE94B9922,國際機場接送,CTI_498,1,11
CTI,H1C4412CC2043C8774,國際機場接送,CTI_498,1,27
CTI,F184F52CC027303C1E,飛航／機票／旅遊優惠：(請自行KEY IN),CTI_62,1,27
CTI,F1EF6EDEA85AF2F01F,國際機場接送,CTI_498,1,13
CTI,K2B1F4A0DC70750939,國際機場外圍停車服務,CTI_227,1,12
CTI,E2A93E1F2FCAA958B5,國際機場外圍停車服務,CTI_227,1,19
CTI,S29A736E3714CCAE37,高鐵,CTI_97,1,22
CTI,S2F047F9C07B58DF53,國際機場接送,CTI_498,1,2
CTI,A25C6D3FDCFF13862D,里程兌換,CTI_6,1,7
CTI,F2848AE10FB7508C3C,國際機場外圍停車服務,CTI_227,1,17
CTI,N218B455CB6C394D88,國際機場接送,CTI_498,1,14
CTI,H2A791A57243DF1A36,機場貴賓室,CTI_808,1,16
CTI,R2DCBD80D7523D51B6,國際機場接送,CTI_498,1,14
CTI,H256458F8808439CB7,SOGO,CTI_1,1,23
CTI,A189F38427DA2672EF,機場貴賓室,CTI_808,1,24
CTI,C173538918DE1E1942,國際機場外圍停車服務,CTI_227,1,4
CTI,F23061BEF2BB487DEE,國際機場外圍停車服務,CTI_227,2,26
CTI,F25974604D0F82FD1E,機場貴賓室,CTI_808,1,6
CTI,M215D4CB0B12C324E5,飛航／機票／旅遊優惠：(請自行KEY IN),CTI_62,1,6
CTI,F227D85FAF30A6735D,國際機場外圍停車服務,CTI_227,1,1
CTI,G26BC4482DEC2A87FC,國際機場外圍停車服務,CTI_227,1,5
CTI,S236600E6907027A2C,國際機場接送,CTI_498,1,17
CTI,E298795F657104C05E,國際機場外圍停車服務,CTI_227,1,11
CTI,H23BAC35C99149A9B0,國際機場外圍停車服務,CTI_227,1,21
CTI,N2EC159474B9C4158E,國際機場外圍停車服務,CTI_227,1,13
CTI,F17446EBEA79582AF7,餐飲／住宿／電影優惠：(請自行KEY IN),CTI_922,1,15
CTI,J1D9616E07EF140007,國際機場外圍停車服務,CTI_227,1,19
CTI,T2AF341D6B0B267C76,國際機場外圍停車服務,CTI_227,1,16
CTI,R28B53EDFCEBC16032,機場貴賓室,CTI_808,1,26
CTI,C2207BA2EAFD0D4142,國際機場接送,CTI_498,1,6
CTI,P27FC5E3F0B012AB2E,高鐵,CTI_97,1,27
CTI,F1E833B533DD82CA31,國際機場外圍停車服務,CTI_227,1,18
CTI,L1EA34FD2CB1F5E58A,國際機場接送,CTI_498,1,13
CTI,N14A0669085BBA7082,國際機場接送,CTI_498,1,13
CTI,K164D3F7BA00B076CB,國際機場外圍停車服務,CTI_227,1,12
CTI,F2B3FDF47CBF63C482,國際機場外圍停車服務,CTI_227,1,6
CTI,H2241EFB44FB8D9DA6,國際機場外圍停車服務,CTI_227,1,24
CTI,H17F21CD83ACC14214,國際機場接送,CTI_498,1,20
CTI,A1AA5B9CFC669308B9,國際機場接送,CTI_498,1,25
CTI,F2119B19ACDB8A90E6,國際機場外圍停車服務,CTI_227,1,18
CTI,F2CDC44C0E0397A693,機場貴賓室,CTI_808,1,19
CTI,D202EA8F4A49B887B5,國際機場外圍停車服務,CTI_227,1,17
CTI,R1A3831E77BA8E75E8,高鐵,CTI_97,1,10
CTI,F2DE29CF8A606E1610,線上購物：(請自行KEY IN),CTI_781,1,11
CTI,F25B93BA75AF4F442B,機場貴賓室,CTI_808,1,27
CTI,E15DE68C87A33AC932,國際機場接送,CTI_498,1,27
CTI,J17A07102C2F495C81,國際機場接送,CTI_498,1,6
CTI,X2174E878EF8D407D6,國際機場外圍停車服務,CTI_227,1,25
CTI,B1955B173AA1A464FC,國際機場外圍停車服務,CTI_227,1,9
CTI,H174E55AF173BA0593,里程兌換,CTI_6,1,23
CTI,N20CD814EA6B433378,國際機場接送,CTI_498,1,13
CTI,B10C3CECD64BDD8716,國際機場接送,CTI_498,1,11
CTI,F12666E33CFC8DD7C1,國際機場外圍停車服務,CTI_227,1,1
CTI,G1D675FBE460307294,國際機場外圍停車服務,CTI_227,1,10
CTI,D1835D8BE7B5ED6602,國際機場接送,CTI_498,1,4
CTI,O150EF91F5726BE36C,國際機場外圍停車服務,CTI_227,1,10
CTI,H198DD009B831724CE,市區停車,CTI_2,1,11
CTI,V263A4507438A53402,國際機場接送,CTI_498,1,11
CTI,Q2193F23172995531B,國際機場接送,CTI_498,1,18
CTI,R1FE0B87F3CA658955,國際機場接送,CTI_498,2,5
CTI,G16CE83F1CCF62DEA6,高鐵,CTI_97,1,14
CTI,G2802680AAC8F1E1EC,國際機場接送,CTI_498,1,24
CTI,F26D2A0A99B4173B93,高鐵,CTI_97,1,7
CTI,H12B2C4D712094199B,國際機場外圍停車服務,CTI_227,1,4
CTI,F2382331CC692F31FA,機場貴賓室,CTI_808,1,27
CTI,Y13F39A0B395E089B5,國際機場外圍停車服務,CTI_227,1,16
CTI,H2C34EE8771B80873F,國際機場接送,CTI_498,1,27
CTI,B2EC6B3DB4D9D869F1,高鐵,CTI_97,1,7
CTI,S21C27E50481BBDC98,國際機場接送,CTI_498,1,7
CTI,Q1AC725396B0662EB8,國際機場外圍停車服務,CTI_227,1,10
CTI,A1FC409DB8A7521D1C,機場貴賓室,CTI_808,1,15
CTI,P23E4E3DC1245C807F,紅利兌換機票,CTI_59,1,5
CTI,T2A4E3993D5516B9BA,里程兌換,CTI_6,1,6
CTI,F10FF16437B53A42F7,國際機場外圍停車服務,CTI_227,1,22
CTI,M2E0480E726EB70441,機場貴賓室,CTI_808,1,1
CTI,B25FFCF928ABBE5DCE,機場貴賓室,CTI_808,1,19
CTI,L2691AB8DE60CF710A,機場貴賓室,CTI_808,1,18
CTI,H2F447E456E8A4572F,國際機場外圍停車服務,CTI_227,1,4
CTI,K2392F04D86983F0E9,國際機場接送,CTI_498,1,3
CTI,F2A28769A0B1A34BD2,國際機場接送,CTI_498,1,7
CTI,Q1BC932CDFB4AE53C7,里程兌換,CTI_6,1,3
CTI,E2C43D842CEBB2179E,國際機場外圍停車服務,CTI_227,1,10
CTI,K26B435F10FD322E57,國際機場外圍停車服務,CTI_227,1,27
CTI,M2D8BD00B3DF9D5BB4,高鐵,CTI_97,1,23
CTI,T20974F9ED6CD85AF5,高鐵,CTI_97,1,3
CTI,P242163AB545D5EBB0,國際機場接送,CTI_498,1,6
CTI,A1FFE4560B007D637A,機場貴賓室,CTI_808,2,20
CTI,A2292FE0CF1E1292B2,國際機場接送,CTI_498,1,12
CTI,K2B8A9CC18B9A96780,國際機場接送,CTI_498,1,11
CTI,P1DA06E39C70003205,高鐵,CTI_97,1,23
CTI,A2C005B01A8BD72927,機場貴賓室,CTI_808,1,18
CTI,A14B590875BA782588,國際機場外圍停車服務,CTI_227,1,8
CTI,F13FD6DEC42BA4721F,國際機場外圍停車服務,CTI_227,1,13
CTI,C23B059E5D52EDC8C2,國際機場接送,CTI_498,1,26
CTI,Y2345EA427A2E42122,國際機場接送,CTI_498,1,20
CTI,D1B9AFD6F300EA24DF,高爾夫,CTI_75,1,23
CTI,F2D9026A7518FBD30D,國際機場接送,CTI_498,2,17
