DATA_TYPE,CUSTOMER_ID,ITEM,ITEM_ID,CNT,MIN_DIST
MMO_ATT,R2B5ABAC484E1935D5,新光三越商品券,MMO_ATT_A07_1_201606,1,59
MMO_ATT,F1561E0CCDACA67157,太平洋百貨商品券,MMO_ATT_A07_2_201606,1,29
MMO_ATT,R11F0EC846651D2209,爽健美茶PET535,MMO_ATT_A02_43_201610,1,45
MMO_ATT,J234C4E39392EA3829,新光三越商品券,MMO_ATT_A07_1_201606,1,7
MMO_ATT,E136E7137D3C19D7DA,中華電信,MMO_ATT_A08_52_201606,1,4
MMO_ATT,H2E26B9448AB21AE2D,太平洋百貨,MMO_ATT_A08_3_201606,1,28
MMO_ATT,K25A8989D3CE1B4E4E,500元乙份即享券,MMO_ATT_A02_69_201608,1,62
MMO_ATT,F2A7E13D77C0EB986F,卡辣姆久V感厚切洋芋片,MMO_ATT_A02_44_201610,1,42
MMO_ATT,M19E835C9D6FA6728D,EZ訂,MMO_ATT_A04_1_201606,1,14
MMO_ATT,H2D04026F652375A39,500元乙份即享券,MMO_ATT_A02_69_201608,1,27
MMO_ATT,L18D6AFD878136BF85,現金抵用券100元,MMO_ATT_A12_37_201606,2,36
MMO_ATT,F14A881F8DE6F3F3B7,蜜汁烤雞堡+薯條(L)+冰紅茶(L)乙份,MMO_ATT_A02_39_201606,2,56
MMO_ATT,L2E4CC32D19BF11B61,長榮航空亞洲線來回機票,MMO_ATT_A03_17_201606,1,84
MMO_ATT,A2F880D252390101A4,培根雞蛋堡+冰紅茶(L),MMO_ATT_A02_13_201606,2,3
MMO_ATT,M211C8C7ABAC56E3A3,火腿歐姆蛋堡+冰紅茶(L)乙份,MMO_ATT_A02_11_201606,1,39
MMO_ATT,D21CD7554F22AE2DBC,TreeMall,MMO_ATT_A08_59_201606,1,60
MMO_ATT,A27DDCBB9D6A127D73,新光三越商品券,MMO_ATT_A07_1_201606,1,14
MMO_ATT,P280FAF3402FDC548B,聚 北海道昆布鍋套餐乙份,MMO_ATT_A02_50_201606,1,1
MMO_ATT,P18CFA80A6A868D094,現金抵用券100元,MMO_ATT_A12_37_201606,1,34
MMO_ATT,A1E558C2A6D9D3AB7F,薯條(S),MMO_ATT_A02_5_201606,1,79
MMO_ATT,N1504716C7FF389782,統一麥香紅茶TP300,MMO_ATT_A12_5_201606,5,2
MMO_ATT,H280E2F3339FDF3EB7,EZ訂,MMO_ATT_A04_1_201606,1,10
MMO_ATT,X14E33589F385495DA,1000元乙份即享券,MMO_ATT_A02_53_201606,1,22
MMO_ATT,S2A2B1C9351DFC97C4,孔雀香酥脆香魚大,MMO_ATT_A12_10_201606,1,64
MMO_ATT,S22F2445981D64E9D3,遠傳電信,MMO_ATT_A06_2_201606,2,77
MMO_ATT,F2FB93EC17FD74499B,蕃茄吉士蛋堡+冰紅茶(L)乙份,MMO_ATT_A02_12_201606,4,22
MMO_ATT,N234E250FE8EE74C93,統一麥香奶茶TP300,MMO_ATT_A12_2_201606,1,88
MMO_ATT,F2B6B4025D64C28236,牛丼(大)乙份,MMO_ATT_A02_34_201606,1,85
MMO_ATT,F11EF1510A1FCC0BB0,EZ訂,MMO_ATT_A04_1_201606,1,81
MMO_ATT,F22B5B1FFE9EA17F6A,EZ訂,MMO_ATT_A04_1_201606,3,22
MMO_ATT,N23FD8238D0357BB50,現金抵用券100元,MMO_ATT_A12_37_201606,5,7
MMO_ATT,A113371FD343F81904,統一麥香奶茶TP300,MMO_ATT_A12_2_201606,1,55
MMO_ATT,S26270C1F0ABE98C80,長榮航空里程,MMO_ATT_A03_1_201606,3,22
MMO_ATT,T2BC995648F53BFEEB,夏慕尼新香榭鐵板燒套餐乙份,MMO_ATT_A02_54_201606,1,69
MMO_ATT,D2ECF2A4AC1E1CA9A4,超值早餐39元現金抵用券,MMO_ATT_A12_39_201606,1,20
MMO_ATT,A2299BD60E1DF6E64A,亞洲萬里通里數,MMO_ATT_A03_3_201606,3,17
MMO_ATT,D18C0F7E70D289231E,台灣電力公司電費,MMO_ATT_A06_4_201606,1,19
MMO_ATT,Y2D55DCFBC32B502C4,摩斯漢堡+冰紅茶(L)乙份,MMO_ATT_A02_27_201606,1,55
MMO_ATT,L2D0BBCDB9F53EF131,台灣電力公司電費,MMO_ATT_A06_4_201606,1,90
MMO_ATT,F2C80DDC00195D08B4,百吉布丁大雪糕,MMO_ATT_A12_9_201606,1,68
MMO_ATT,H2A10A89F356EDC41B,亞洲萬里通里數,MMO_ATT_A03_3_201606,2,68
MMO_ATT,HL5D09930A1D26854A,茶裏王日式綠茶PET600,MMO_ATT_A12_12_201606,1,86
MMO_ATT,F2B98B15CE08F1B4E8,統一麥香奶茶TP300,MMO_ATT_A12_2_201606,1,3
MMO_ATT,Q23C0315069E7BE827,1000元乙份即享券,MMO_ATT_A02_53_201606,1,6
MMO_ATT,T2A8BCADE014663E1C,CITYCAFE大冰拿鐵,MMO_ATT_A12_35_201606,2,52
MMO_ATT,J16A189F168BBA6574,中華電信,MMO_ATT_A08_52_201606,1,34
MMO_ATT,F1BA998C0361F24A84,中華電信,MMO_ATT_A06_1_201606,1,29
MMO_ATT,Q272AC858B4FE8CFD7,海洋珍珠堡+冰紅茶(L),MMO_ATT_A02_32_201606,1,21
MMO_ATT,O2E257827A2BE2F80F,現金抵用券100元,MMO_ATT_A12_37_201606,1,10
MMO_ATT,L19D88A8136D7787A7,長榮航空里程,MMO_ATT_A03_1_201606,2,63
MMO_ATT,E1FADB6F99A07319C2,新光三越商品券,MMO_ATT_A07_1_201606,1,33
MMO_ATT,W1C768F54358BDF969,台灣電力公司電費,MMO_ATT_A06_4_201606,1,13
MMO_ATT,J2035FAB18775C667E,momo百貨,MMO_ATT_A08_8_201606,1,46
