DATA_TYPE,CUSTOMER_ID,ITEM,ITEM_ID,cnt,MIN_DIST
MMO_FAV_P,05E555266B6D5BB4F4,60元飲品乙杯,MMO_FAV_P_A02_8_201606,1,0
MMO_FAV_P,S20ED43B2CB4A9D6C2,CITYCAFE大冰拿鐵,MMO_FAV_P_A12_35_201606,1,0
MMO_FAV_P,P28DAA1F8CBBF17DED,CITYCAFE大冰拿鐵,MMO_FAV_P_A12_35_201606,1,0
MMO_FAV_P,A1929C78821AEEFD3A,太平洋崇光百貨,MMO_FAV_P_A08_2_201606,1,0
MMO_FAV_P,N2AD46B62EA16BF1AD,台灣高鐵升等商務車廂,MMO_FAV_P_A03_12_201606,1,0
MMO_FAV_P,H1DCB4CD6B18FE9187,1000元乙份即享券,MMO_FAV_P_A02_53_201606,1,0
MMO_FAV_P,F12BD307A7F031CE0B,100元即享券乙份,MMO_FAV_P_A02_39_201608,1,0
MMO_FAV_P,A1ACB272D3E3D82E3B,EZ訂,MMO_FAV_P_A04_1_201606,1,0
MMO_FAV_P,N2D316DA8F8A9EFE0D,CITYCAFE大熱拿鐵,MMO_FAV_P_A12_34_201606,1,0
MMO_FAV_P,Y2569B2112CFA1F84C,比漾廣場商品券,MMO_FAV_P_A07_3_201606,1,0
MMO_FAV_P,E2967A67905A00694D,CITYCAFE大熱拿鐵,MMO_FAV_P_A12_34_201606,1,0
MMO_FAV_P,A2CD53F36880555F1A,摩斯鱈魚堡+冰紅茶(L)乙份,MMO_FAV_P_A02_29_201606,1,0
MMO_FAV_P,F28B1465CB29F1B0AC,現金抵用券100元,MMO_FAV_P_A12_37_201606,1,0
MMO_FAV_P,M226375980E726C7C5,台灣高鐵升等商務車廂,MMO_FAV_P_A03_12_201606,1,0
MMO_FAV_P,A2CA8CA9E74D06212D,北市自來水費,MMO_FAV_P_A06_3_201606,1,0
MMO_FAV_P,A1FE6817A9E216726A,華堡豪華套餐,MMO_FAV_P_A02_61_201608,1,0
MMO_FAV_P,F26B2FE20A1E807346,CITYCAFE中冰美式,MMO_FAV_P_A12_25_201606,1,0
MMO_FAV_P,B27E6092EBAFAE23A9,現金抵用券100元,MMO_FAV_P_A12_37_201606,1,0
MMO_FAV_P,F2F8BF73A07D415539,下午茶蛋糕組(中杯本日咖啡+精選蛋糕),MMO_FAV_P_A02_51_201608,1,0
MMO_FAV_P,P296F42564CC2D7C0B,CITYCAFE大熱拿鐵,MMO_FAV_P_A12_34_201606,1,0
MMO_FAV_P,F216C5F48755B78E67,長榮航空香港來回機票,MMO_FAV_P_A03_15_201606,1,0
MMO_FAV_P,L25ECBB38AF1BF8DC8,30元茶飲任選一+40元蛋糕任選一,MMO_FAV_P_A02_10_201606,1,0
MMO_FAV_P,S295867791245FA230,30天音樂體驗兌換券乙份,MMO_FAV_P_A02_37_201606,1,0
MMO_FAV_P,054A0E2DDD2AAB3852,現金抵用券200元,MMO_FAV_P_A12_38_201606,1,0
MMO_FAV_P,F248E5BB5650E84D9F,中華航空里程,MMO_FAV_P_A03_2_201606,1,0
MMO_FAV_P,F1AF071073375A9669,嘟嘟房市區停車,MMO_FAV_P_A03_5_201606,1,0
MMO_FAV_P,E214DF09799E20F4A1,鮮奶烏龍茶(大杯),MMO_FAV_P_A02_24_201608,1,0
MMO_FAV_P,E214DF09799E20F4A1,太平洋百貨商品券,MMO_FAV_P_A07_2_201606,1,0
MMO_FAV_P,N161E1EE935EEAD567,CITYCAFE大冰美式,MMO_FAV_P_A12_29_201606,1,0
MMO_FAV_P,05E555266B6D5BB4F4,博客來網路書店,MMO_FAV_P_A08_63_201606,1,0
MMO_FAV_P,H2E474456CBE8AF5DB,CITYCAFE中熱美式,MMO_FAV_P_A12_26_201606,1,0
MMO_FAV_P,F2C1C971219A1C1178,遠傳電信,MMO_FAV_P_A06_2_201606,1,0
MMO_FAV_P,E2BE0267015B9DA52D,火腿歐姆蛋堡+冰紅茶(L)乙份,MMO_FAV_P_A02_11_201606,1,0
MMO_FAV_P,F2A8D2034CEBDB7B8E,摩斯鱈魚堡+冰紅茶(L)乙份,MMO_FAV_P_A02_29_201606,1,0
MMO_FAV_P,F29F51D9DD14741B78,藝奇新日本料理套餐乙份,MMO_FAV_P_A02_52_201606,1,0
MMO_FAV_P,E156E28B18F81C9C9F,原創黑珍珠奶茶(大杯),MMO_FAV_P_A02_17_201608,1,0
MMO_FAV_P,F12BD307A7F031CE0B,點水樓$200元餐飲抵用券乙張,MMO_FAV_P_A02_96_201610,1,0
MMO_FAV_P,N2DFB489CC981F85A2,燒肉珍珠堡+冰紅茶(L)乙份,MMO_FAV_P_A02_30_201606,1,0
MMO_FAV_P,P243D2F1ECC8EA5268,台灣電力公司電費,MMO_FAV_P_A06_4_201606,1,0
MMO_FAV_P,C239FF2031BBFD1D7A,100元即享券乙份,MMO_FAV_P_A02_39_201608,1,0
MMO_FAV_P,C28C63C5A867BFBA35,遠東百貨,MMO_FAV_P_A08_5_201606,1,0
MMO_FAV_P,R2F6638B8D8ABDA671,燦坤3C,MMO_FAV_P_A08_53_201606,1,0
MMO_FAV_P,F1D117AF658FB68A98,50元飲品任選乙份(限To-Go門市使用),MMO_FAV_P_A02_8_201608,1,0
MMO_FAV_P,L2080DA5CD4DB5DD8D,100元即享券乙份 ,MMO_FAV_P_A02_39_201608,1,0
MMO_FAV_P,A209186AAA23008A7E,台灣電力公司電費,MMO_FAV_P_A06_4_201606,1,0
MMO_FAV_P,Q2F2F36D231236E530,黃金炸蝦堡+冰紅茶(L),MMO_FAV_P_A02_33_201606,1,0
MMO_FAV_P,E2DF1D16E1FCEFDD7D,夏慕尼新香榭鐵板燒套餐乙份,MMO_FAV_P_A02_54_201606,1,0
MMO_FAV_P,053DE9452578937759,品田牧場元氣套餐乙份,MMO_FAV_P_A02_65_201608,1,0
MMO_FAV_P,H2B50AD3AD50908D7B,7-SELECT礦泉水,MMO_FAV_P_A12_17_201606,1,0
MMO_FAV_P,F257B3D6896B7F6C73,太平洋百貨商品券,MMO_FAV_P_A07_2_201606,1,0
MMO_FAV_P,A2990F1FA82A6ADC14,冰紅茶(M)乙份,MMO_FAV_P_A02_4_201606,1,0
