DATA_TYPE,CUSTOMER_ID,ITEM,ITEM_ID,cnt,MIN_DIST
MMO_FAV_S_,X2E99BB3B564B1541E,河邊餐廳 ,MMO_FAV_S_604,1,3
MMO_FAV_S_,P16ADC797A96374442,台亞加油站 大業站,MMO_FAV_S_166,1,73
MMO_FAV_S_,012065EC099D6C0E3B,台灣中油 [自營]南港站刷卡自助,MMO_FAV_S_306,1,51
MMO_FAV_S_,L10B2A80DEF9CD81FE,台灣中油 [自營]梅溪站,MMO_FAV_S_330,1,6
MMO_FAV_S_,F24B396C7F34FC0DF0,台灣中油 [自營]林森北路站,MMO_FAV_S_276,1,73
MMO_FAV_S_,B21FB18CF38F355A24,台灣中油 [自營]青島路站,MMO_FAV_S_298,1,48
MMO_FAV_S_,A1077F6EDC41A8ED90,台亞加油站 楠梓交流道站,MMO_FAV_S_184,1,59
MMO_FAV_S_,V1E016311F424AADEF,UCC COFFEE SHOP K'S Caf'e 微風廣場,MMO_FAV_S_97,1,67
MMO_FAV_S_,L1ED2163A5BD6EFAC4,家樂福 文心店,MMO_FAV_S_694,1,35
MMO_FAV_S_,F2346FA585760264AA,UCC COFFEE SHOP 桃園 Caf'e Mercado,MMO_FAV_S_108,1,13
MMO_FAV_S_,C25E6842D9EBF5DA87,UCC COFFEE SHOP 台北 Caf'e Mercado,MMO_FAV_S_104,1,81
MMO_FAV_S_,Q15E2890AF6E89976A,台灣中油 [自營]長治站,MMO_FAV_S_294,1,40
MMO_FAV_S_,L20A8ECDC738C432FA,壹豆咖啡,MMO_FAV_S_790,1,60
MMO_FAV_S_,G2E283D10C82BE2022,新月豪華影城,MMO_FAV_S_1092,1,10
MMO_FAV_S_,A2C432388BBACCC0E8,三太養身鐵板燒,MMO_FAV_S_846,1,80
MMO_FAV_S_,F18BC46546F5AB0B85,廣安階 太平洋SOGO天母店,MMO_FAV_S_1194,1,35
MMO_FAV_S_,A2F96129C31CDABC9A,台灣中油 [自營]南投民族街站,MMO_FAV_S_303,1,79
MMO_FAV_S_,E1C75917F7300C6CD7,番樂屋 成功店,MMO_FAV_S_989,1,19
MMO_FAV_S_,Q21EF5CA8E48CC44F3,薔薇派 中友店,MMO_FAV_S_1303,1,5
MMO_FAV_S_,A1827D643CDB343FEE,台中林酒店,MMO_FAV_S_207,1,14
MMO_FAV_S_,F12BD307A7F031CE0B,全國加油站 台北交流道站,MMO_FAV_S_486,1,20
MMO_FAV_S_,U2AAE4F9C7CC104349,一頭也黑毛和牛炭火燒肉,MMO_FAV_S_793,1,54
MMO_FAV_S_,033B2A23951E972B4F,新台南擔仔麵 新光三越,MMO_FAV_S_1048,1,26
MMO_FAV_S_,U2AAE4F9C7CC104349,N168 PRIME 牛排館 維多麗亞酒店本館,MMO_FAV_S_78,1,54
MMO_FAV_S_,A1CE6E727DC7D99CB8,宏泰泰式料理 舊宗店,MMO_FAV_S_598,1,44
MMO_FAV_S_,F12BD307A7F031CE0B,騎士廚房 京華店,MMO_FAV_S_1325,1,20
MMO_FAV_S_,A181058F87F92D121F,燦坤3C 新北投店,MMO_FAV_S_1285,1,14
MMO_FAV_S_,M2DB649500A6C8C895,廣三ＳＯＧＯ百貨,MMO_FAV_S_1198,1,6
MMO_FAV_S_,Q15E2890AF6E89976A,台灣中油 [自營]義竹站,MMO_FAV_S_402,1,40
MMO_FAV_S_,F12BD307A7F031CE0B,丹堤咖啡 和平大安,MMO_FAV_S_873,1,20
MMO_FAV_S_,A255EF20FC94C455E8,Cozzi和逸 高雄館,MMO_FAV_S_19,1,55
MMO_FAV_S_,N19A2772E1BB2363B7,全國電子 興農鹿港門市,MMO_FAV_S_570,1,70
MMO_FAV_S_,E209223E391DC41886,紅毛港海鮮餐廳,MMO_FAV_S_626,1,30
MMO_FAV_S_,Q15E2890AF6E89976A,台灣中油 [自營]歸來站,MMO_FAV_S_426,1,40
MMO_FAV_S_,N21A2860F735260CC5,寶才食品,MMO_FAV_S_1327,1,33
MMO_FAV_S_,E2F77E0521CE426F72,南天紅鐵板燒-市中店,MMO_FAV_S_621,1,7
MMO_FAV_S_,N2F542C93C082790E5,遠東大遠百 板橋中山店,MMO_FAV_S_1170,1,12
MMO_FAV_S_,L2F22A623906D1C1D2,燦坤3C 太平樹孝店,MMO_FAV_S_1282,1,78
MMO_FAV_S_,D1901BE69E25DC16C3,捷絲旅 高雄站前館,MMO_FAV_S_784,1,82
MMO_FAV_S_,Q191B3D0B8DDC18EEA,遠東大遠百 台中大遠百,MMO_FAV_S_1165,1,23
MMO_FAV_S_,U210AACB9C688AA24B,全國電子 花蓮中正(二)門市,MMO_FAV_S_531,1,53
MMO_FAV_S_,E14C8B65B547FA5DDA,台灣中油 [自營]中山路站,MMO_FAV_S_370,1,30
MMO_FAV_S_,Q15E2890AF6E89976A,台灣聯通 長安西場,MMO_FAV_S_453,1,40
MMO_FAV_S_,E209223E391DC41886,台灣中油 [自營]成功一路站,MMO_FAV_S_241,1,30
MMO_FAV_S_,A10B6B00C78F23D46B,燦坤3C 吉祥店,MMO_FAV_S_1250,1,53
MMO_FAV_S_,Q15E2890AF6E89976A,遠東大遠百 新竹大遠百,MMO_FAV_S_1177,1,40
MMO_FAV_S_,05E14DE967AEC9AFB3,漢爾斯健康果汁 美麗華購物中心,MMO_FAV_S_1140,1,59
MMO_FAV_S_,R15D55572BBA64ABD8,台灣中油 [自營]沙鹿站,MMO_FAV_S_256,1,30
MMO_FAV_S_,Q21EF5CA8E48CC44F3,鶴園,MMO_FAV_S_1328,1,5
MMO_FAV_S_,L2543AC1378B36B50F,嘟嘟房 台中武昌,MMO_FAV_S_1108,1,12
MMO_FAV_S_,F24B396C7F34FC0DF0,台北喜來登大飯店,MMO_FAV_S_131,1,73
MMO_FAV_S_,N21A2860F735260CC5,點子主廚餐廳,MMO_FAV_S_1311,1,33
MMO_FAV_S_,F12BD307A7F031CE0B,台灣中油 [自營]復興北路站,MMO_FAV_S_356,1,20
MMO_FAV_S_,A1077F6EDC41A8ED90,順發3C 楠梓店,MMO_FAV_S_1028,1,59
