DATA_TYPE,CUSTOMER_ID,ITEM,ITEM_ID,cnt,MIN_DIST
WEB,T11F9C153905732370,movie_ez訂,WEB_106,1,16
WEB,A29F7543685404B4B5,PLAY悠遊聯名卡登錄享自動加值3%現金回饋,WEB_329,1,18
WEB,A251DF734A6FA735C1,movie_美麗華,WEB_209,1,9
WEB,A2A72B97CBE916978D,BANNER_長榮航空,WEB_54,1,25
WEB,A1BD17A1AAF21F72DC,movie_ez訂,WEB_106,1,9
WEB,D1498E3C57E68CF602,BANNER_飯店精選,WEB_60,1,23
WEB,S2BD758AAD24D1AC55,movie_美麗華,WEB_209,1,24
WEB,A27625F17C47DA424C,BANNER_OPENPOING,WEB_1,1,21
WEB,A197C852E6DDBF02EE,指定線上消費，綁卡享回饋,WEB_448,1,25
WEB,T1AB5E27764875CCD0,PLAY悠遊聯名卡登錄享自動加值3%現金回饋,WEB_329,1,14
WEB,O2D4AB00EAE82B60CD,movie_美麗華,WEB_209,1,0
WEB,BDA99218B043CFF05D,BANNER_酷航,WEB_101,1,9
WEB,J1F410D0541AB97A01,PLAY悠遊聯名卡登錄享自動加值3%現金回饋,WEB_329,1,19
WEB,T1B6EC79E8E9F77045,movie_國賓,WEB_231,1,12
WEB,N17FF83124C19D6F29,movie_ez訂,WEB_106,1,27
WEB,F1FA9669ACCE81D7D9,PLAY悠遊聯名卡登錄享自動加值3%現金回饋,WEB_329,1,20
WEB,E21225A9F59E264B3E,BANNER_OPENPOING,WEB_1,1,14
WEB,A1792C5D597EC6BEBD,BANNER_飯店精選,WEB_60,1,25
WEB,F2206F8F4985804761,movie_國賓,WEB_231,1,24
WEB,F1CB23C5D88A1A82D9,BANNER_OPENPOING,WEB_1,1,19
WEB,O2F2D4AC72F50C7165,BANNER_OPENPOING,WEB_1,1,7
WEB,E12BEE0EF000CC2DEA,movie_新光,WEB_302,1,21
WEB,H29D958523395321BF,movie_美麗華,WEB_209,1,2
WEB,F1E48E9E3702FB045B,movie_ez訂,WEB_106,1,11
WEB,E2AC2FE94BA8C6BCE9,BANNER_長榮航空,WEB_54,1,22
WEB,N13BA42CB50358883B,刷ETC聯名卡登錄享eTag自動儲值5%現金回饋,WEB_428,1,9
WEB,H29D958523395321BF,movie_ez訂,WEB_106,1,2
WEB,E282A0BE0855117E7F,movie_ez訂,WEB_106,1,24
WEB,R2C4451B40533AAF5C,食分幸福,WEB_454,1,25
WEB,A2DE9CEE11942C9730,BANNER_曼谷自由行,WEB_57,1,18
WEB,B29A9E3C96423F6C12,movie_ez訂,WEB_106,1,18
WEB,R210FCF58947C552BE,BANNER_OPENPOING,WEB_1,1,5
WEB,f128XXXXXX,movie_新光,WEB_302,1,6
WEB,A2819CB58307D77400,movie_美麗華,WEB_209,1,3
WEB,F16EDA58C25A3446B3,movie_ez訂,WEB_106,1,24
WEB,E226111F048D0AAF49,刷ETC聯名卡登錄享eTag自動儲值5%現金回饋,WEB_428,1,17
WEB,A1BD17A1AAF21F72DC,movie_國賓,WEB_231,1,9
WEB,f128XXXXXX,movie_日新,WEB_294,1,6
WEB,A1097F0113FB386578,movie_ez訂,WEB_106,1,25
WEB,H10A949F7B2FA3967F,movie_in89,WEB_194,1,27
WEB,V1A1BE8333B1B38997,movie_國賓,WEB_231,1,4
WEB,A1792C5D597EC6BEBD,movie_國賓,WEB_231,1,25
WEB,Q18FE76410329FE7E5,BANNER_飯店精選,WEB_60,1,25
WEB,Q1F9442C357F9AE11D,BANNER_酷航,WEB_101,1,19
WEB,A10618C8342B4A68CB,PLAY悠遊聯名卡登錄享自動加值3%現金回饋,WEB_329,1,11
WEB,N1DDFF4CADD48651B1,movie_國賓,WEB_231,1,13
WEB,U19FE12C3FD097DD46,PLAY悠遊聯名卡登錄享自動加值3%現金回饋,WEB_329,1,17
