,0
S2E0BFFC268AB6A4FC,102543
T125AE80A9DDAA7B14,23034
N1BC6FC5E0D51F85CF,119469
F24FF49E4B183C99B2,28598
Q1940A98B04A429462,108064
U17FE627669691A308,94979
D258537EEFD8590802,34162
M29741ED1FEB2ED171,119470
A2DECE7D9B302C1DDD,39823
F18DB03C29655E5978,56937
S1E35D7CB6033CC7B7,119473
J1746F2411E07F1B82,62615
L116FCEAD318FFF6A4,56939
E1BB7D772F389BB2A6,115499
F130E8D27244E0F43E,96852
P2CC6CD96843333A5C,108066
C2805A080EFC77C2C9,34163
S27E4FDDA277C77668,39853
M2449E4985AEA3D684,62616
S1764061F9D1056BF0,119475
G2A9F8F6A351FF8626,121108
Y1D988E14C856904EB,39828
Y256AD416B142A6C7E,51213
N12FA131C1C93078EB,10
A29794C3E9A52A1A79,74004
F2C0E582143D8E12FA,45422
N2687192DEA6E18B02,123995
F2EEA562B18810FBB5,85470
N203285342182888D4,106269
R25E7269E333C4940C,96857
M19331165BB5832130,102554
R234ADC272CDA6C1F2,113786
Q25570DB1E0694B714,39832
Q2F082B9896DE8B75F,11389
D1ADF656B835DEC4AE,108063
F23F1CAA87D8E57B2F,62622
G183F11BFE1D51D21C,119555
A23CDBBEED32D30A72,28608
F2119B19ACDB8A90E6,45513
Q15C4AE2A11A77179D,30413
R26635826ED0BE2C7E,62708
H14F3735D020BFB1BB,45428
B1C3295CFADE85CACE,74007
S20148AC649815DF8E,102556
A1EF97F6CBBAB7FE86,17239
F23C0BBF6848171A83,96858
A254741B71EC2D61ED,45430
F1EFAB82B0D5FB1AF5,39837
T2ACA3BA16F090D184,34174
T1C2EC565E286329D0,96859
T2AD751B9862ED09F1,56950
P15DA495FF02E5EA03,115638
F14D2C0620E9D697C9,68313
K2A944B2E8638CE202,39839
M1EC5DF92067169A40,56952
J28359F1A4548BCB4F,28709
D21AAE177AA0C904B8,74012
A2406B438CCDFB89CD,102559
L212A7A2A70F20A5E5,95071
h18B8F044A091506DA,91265
F2F92A6AE9AD189696,74015
U1C583571021718222,90543
H136DC8038C69CAD05,74017
P25098E947E32EB293,11399
F1824CFE161EE18203,51212
A1222E6ED6DEFA7F3F,45438
F156FC00C5BB675AAB,108081
A216210B528FDC4E8B,79762
E2496ECB9A23557BEF,39842
J20484D6978F9D9256,62640
S200A94B507845BEAD,113798
K1E8CA2FF02638E5E3,11404
F1C2ADB19B3812BFC1,74021
T2009F250681EBA526,34184
P2538EBF910027763C,108065
K214C7D8E067722A47,62644
T12839CA3136AA6EC9,121358
M2D9645A54E0ABE0C1,45442
F10521763D580DA10A,119657
G24037C7EEBB71514F,96870
F2F8373C45785244DA,79768
F15A1877DD95C3BEA0,91252
P2D189DE1305C0D919,11409
F2B3593E5A18820D19,91277
P1AB96C2BF9D02E200,94983
A23FFCAD5693B5FD3E,32
F1FCA7FD3CB6E19019,39998
P1F3EAA7EFC5F6BE87,62647
E2F7D4C6A0588304FF,56971
A253281DFDC1E0CE48,119498
I196602D5ABDBD21D8,33
G2EF4F280278FDB965,17254
A25194F2AAF440A9D3,62649
M2388F51E530CD21F2,62650
Q2DFB963013304A191,26819
R12C5F5360F18D0A91,51233
N1043845F88E0912A9,68329
I1E996034404AC5BB2,5629
A11918BB6D9781C761,65127
P172AAD56C0C6D855A,56973
F28BD89AF369B73C11,28805
Q2676560124C01A801,68530
J1FAADE136F606E9C2,108089
F1ED97E104E0BF8F35,112569
D243379797559F9A57,68333
Y1B8D4DBB308036917,96876
J2A657474DB3FFEE3F,34401
F14BE46D253214A50E,11383
O243676E17C8361FB1,15308
R250FCC0723D11129E,68553
T10E7AA23237C37180,56977
T1AF791E5CEFA95E8B,17261
L2CBBCE12768A8D333,85497
A2AC53E7E016787DB0,109087
T21521D6C1B00D9392,34197
N24AF1836425870920,117508
B284A5214DA1BE11E4,85499
T28DF53E36D95E96DD,34422
A2893CE7B107B8EC92,76942
F253650B8F68AAFD9E,7461
Q1DF3FC19C59250183,46
A21B7C83EBB64DB018,74039
T1A34A814902A6BD8A,103797
F20FD59D95D1E48A11,28631
F1D8AD0CB185B6E8DE,100590
S27CA5A6BA1D27E6BF,56983
F2A909F25B2027C726,123847
H23D7282A6AD0E52B7,51485
F171735B5ED9251187,62665
P22D41E8577BACD30A,28634
A19F3BF0D43BB69D63,5641
F276C78EA1FB2A399B,50
D1DBBF6AE6E9DDA01C,68345
T1E14D8D6122283C7A,23089
P1FFCAF3C341AE6DDD,101003
A2A272D73A31ACF533,74045
K263C934FEC50EC0E1,23324
N2E53C9F1F5F58325B,83555
K18B93E98AD587D07D,45469
T17A9CDA83929F2FEC,5643
E166C36CFDF1002D46,118713
P1B933D69C4A033F9A,74047
C21DF61AF9962824BA,90539
M209BFDE793F277D5E,113825
J2CBB11BD52CFF177A,100649
S299A8894A0C43F522,5904
R2A32F464B2074DD7E,5646
J2C575F6C5208FBB2B,34214
N177D12D9463A1D473,34215
E29E05653193A0DB89,119520
S2B1237AE5E32FBD13,17275
E1EE6405708AB3E728,59
F29BCDF6C3A452110D,91303
Q2EE7AB516066A7714,119523
M29B7CA594CE1367C5,113832
L22B40F738F559B661,11434
S1AAEBA02F0330D18B,96895
K20484A1601FBC3FF1,39868
A1DE4E1A52038292B6,124783
P234FA3D42C5181445,56996
