ITEM,Item_Point,Mcc_Category,Manufacture,Gender_Ratio,Average_Age,Item_Level,Click_CNT,Product_Index_Log,Mcc_rank,First_ID,IS_Active
udn買東西,1000,一般購物(其他),udn買東西,0.25,41,3,26,A08_65_201606,14,A08_65_201606,1
爽健美茶PET535,417,超市/量販,7-11,0.323008849557522,38,2,113,A02_43_201610,20,A02_43_201610,1
EZ訂,688,休閒,EZ訂,0.277398429498122,34,3,5858,A04_1_201606,4,A04_1_201606,1
30元甜甜圈任選(一入)乙份,533,餐飲,Mister Donut,0.244749596122779,39,3,619,A02_2_201608,23,A02_2_201606,1
北市自來水費,1000,公共事業費用,水費,0.305585392051557,41,3,931,A06_3_201606,17,A06_3_201606,1
特選拼盤套餐乙份(美牛),14250,餐飲,沃克牛排,0.289115646258503,43,5,294,A02_77_201608,23,A02_77_201608,1
香草烤雞腿+四季春冰茶(L)乙份,2167,餐飲,21風味館,0.264,40,5,250,A02_50_201608,23,A02_35_201606,1
原創白珍珠奶茶(大杯),1117,餐飲,喜客券翰林茶棧 ,0.238738738738739,38,4,111,A02_18_201608,23,A02_18_201608,1
遠傳電信,1000,公共事業費用,遠傳,0.235745769941703,35,3,7033,A06_2_201606,17,A06_2_201606,1
長榮航空亞洲線來回機票,220000,旅遊,長榮航空,0.357868020304569,36,5,1773,A03_17_201606,11,A03_17_201606,1
世界和平會,1000,捐獻,世界和平會,0.240740740740741,36,3,27,A08_48_201606,10,A08_48_201606,1
高雄國賓i River 愛河牛排海鮮自助餐廳(平日下午茶吃到飽)特別優惠組,9579,飯店/住宿,國賓大飯店,0.243455497382199,40,5,191,A02_98_201610,21,A02_98_201610,1
神腦國際,1000,3C通訊家電,神腦國際,0.288888888888889,38,3,45,A08_57_201606,1,A08_57_201606,1
拿鐵／卡布奇諾／特調咖啡(M) 乙杯,1117,餐飲,cama cafe,0.267605633802817,37,4,71,A02_15_201608,23,A02_15_201608,1
藝奇新日本料理套餐乙份,12600,餐飲,王品集團,0.250768285187462,43,5,1627,A02_75_201608,23,A02_52_201606,1
30元茶飲任選一+40元蛋糕任選一,1200,餐飲,85度C,0.193333333333333,40,4,300,A02_23_201608,23,A02_10_201606,1
小美香草冰淇淋,333,超市/量販,7-11,0.237327188940092,45,2,217,A12_11_201606,20,A12_11_201606,1
4oz自創冰淇淋(可任選1份配料)乙份,1683,休閒,COLD STONE,0.204134366925065,35,4,387,A02_37_201608,4,A02_23_201606,1
100元即享券乙份,1717,餐飲,Carrefour家樂福,0.225340817963111,40,4,1247,A02_39_201608,23,A02_39_201608,1
